college_code,college_name,city,district,autonomous,college_type,university,naac_grade,nirf_rank,website
E213,Lingarajappa Engineering College,Bidar,Bidar,FALSE,Private,,,,
E216,Shetty Institute of Technology,Kalaburagi,Kalaburagi,FALSE,Private,,,,
E220,Alliance University,Bengaluru,Bengaluru Urban,FALSE,University,,,,
E221,Biluru Gurubasava Mahaswamiji Institute of Technology,Mudhol,Bagalkot,FALSE,Private,,,,
E222,Cambridge Institute of Technology (North Campus),Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E225,SJB School of Architecture & Planning,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E227,Cauvery Institute of Technology,Mandya,Mandya,FALSE,Private,,,,
E232,REVA University,Bengaluru,Bengaluru Urban,FALSE,University,,,,
E235,M S Ramaiah University of Applied Sciences,Bengaluru,Bengaluru Urban,FALSE,University,,,,
E237,Presidency University,Bengaluru,Bengaluru Urban,FALSE,University,,,,
E238,Mysuru Royal Institute of Technology,Mandya,Mandya,FALSE,Private,,,,
E239,East West College of Engineering,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E240,Dayananda Sagar University,Bengaluru,Bengaluru Urban,FALSE,University,,,,
E241,KLE Technological University,Hubballi,Dharwad,FALSE,University,,,,
E252,Mysore College of Engineering and Management,Mysuru,Mysuru,FALSE,Private,,,,
E254,A J Institute of Engineering and Technology,Mangaluru,Dakshina Kannada,FALSE,Private,,,,
E255,Gandhi Institute of Technology and Management (GITAM),Bengaluru,Bengaluru Rural,FALSE,University,,,,
E256,Rai Technological University,Doddaballapur,Bengaluru Rural,FALSE,University,,,,
E257,CMR University,Bengaluru,Bengaluru Urban,FALSE,University,,,,
E258,Maharaja Institute of Technology Tandavapura,Nanjangud,Mysuru,FALSE,Private,,,,
E259,Sir M V School of Architecture,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E263,"School of Planning and Architecture, University of Mysore",Mysuru,Mysuru,FALSE,Constituent,,,,
E264,Basav Engineering School of Technology,Zalki,Vijayapura,FALSE,Private,,,,
E265,Jain College of Engineering and Technology,Hubballi,Dharwad,FALSE,Private,,,,
E266,BMS College of Architecture,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E269,Jain College of Engineering and Research,Belagavi,Belagavi,FALSE,Private,,,,
E272,"Government Engineering College, Talakal",Talakal,Koppal,FALSE,Government,,,,
E273,"Government Engineering College, Gangavathi",Gangavathi,Koppal,FALSE,Government,,,,
E274,"Government Engineering College, Mosale Hosahalli",Mosalehosahalli,Hassan,FALSE,Government,,,,
E275,R V Institute of Technology and Management,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E278,Visvesvaraya Technological University (Muddenahalli Campus),Muddenahalli,Chikkaballapur,FALSE,Constituent,,,,
E279,Visvesvaraya Technological University (Belagavi Campus),Belagavi,Belagavi,FALSE,Constituent,,,,
E281,"Government Engineering College, Challakere",Challakere,Chitradurga,FALSE,Government,,,,
E283,University of Mysuru (B N Bahadur Institute of Management Sciences),Mysuru,Mysuru,FALSE,Constituent,,,,
E284,Sri Jayachamarajendra College of Engineering,Mysuru,Mysuru,TRUE,Private,,,,
E285,RV University,Bengaluru,Bengaluru Urban,FALSE,University,,,,
E286,BGS College of Engineering & Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E287,Vidyashilp University,Bengaluru,Bengaluru Urban,FALSE,University,,,,
E288,Garden City University,Bengaluru,Bengaluru Urban,FALSE,University,,,,
E289,Visvesvaraya Technological University (Kalaburagi),Kalaburagi,Kalaburagi,FALSE,Constituent,,,,
E290,Visvesvaraya Technological University (Mysuru),Mysuru,Mysuru,FALSE,Constituent,,,,
E291,"Government Engineering College, Naragund",Nargund,Gadag,FALSE,Government,,,,
E292,"Government Engineering College, Mailur",Bidar,Bidar,FALSE,Government,,,,
E297,Aditya College of Engineering and Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E299,Ghousia Institute of Technology for Women,Ramanagara,Ramanagara,FALSE,Private,,,,
E300,Akash Institute of Engineering and Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E301,Kishkinda University,Ballari,Ballari,FALSE,University,,,,
E302,Amity University,Bengaluru,Bengaluru Urban,FALSE,University,,,,
E303,GM University,Davanagere,Davanagere,FALSE,University,,,,
E304,Anuvartik Mirji Bharatesh Institute of Technology,Belagavi,Belagavi,FALSE,Private,,,,
E305,Dr H N National College of Engineering,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E306,The Chanakya University,Bengaluru,Bengaluru Rural,FALSE,University,,,,
E307,Seshadripuram Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E308,"Constituent College of VTU, Chintamani",Chintamani,Chikkaballapur,FALSE,Constituent,,,,
E309,"Constituent College of VTU, Chintamani",Chintamani,Chikkaballapur,FALSE,Constituent,,,,
E310,"Government Engineering College, Arasikere",Arasikere,Hassan,FALSE,Government,,,,
E311,Rathinam Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E312,New Ebenezer Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E313,Harsha Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E314,Cauvery College of Engineering,Gonikoppal,Kodagu,FALSE,Private,,,,
E315,"VTU Constituent Engineering College, Gokak",Gokak,Belagavi,FALSE,Constituent,,,,
